1 Time;2 Number;5 Layers;10 Neurons;15 Epochs;20 Train-Acc;21 Val-Acc;22 Train-F1;27 Val-F1;29 Chunksize;30 Comment;Batch-Size;Clipping;Cutoff;Dataset;Future;Link;NLabels;Report;Runtime;Selection;Shape;Train-Confusion;Train-Loss;Val-Confusion;Val-Loss;Weightdecay
Sun Feb 12 19:32:19 2017;3;3;25;100;0.608;0.584;0.396;0.345;3000;LSTM-1sample-3ch;5120;25;200;/home/simon/sleep/;0;<class 'chainer.links.connection.lstm.LSTM'>;[0 1 2 3 4 5 6];"             precision    recall  f1-score   support

          0       0.35      0.37      0.36   1629690
          1       0.00      0.08      0.00      6840
          2       0.85      0.59      0.70  20507400
          3       0.19      0.37      0.25   1840650
          4       0.57      0.59      0.58   1937430
          5       0.41      0.75      0.53   3459390
          6       0.00      0.11      0.00      2280

avg / total       0.71      0.58      0.62  29383680
";337.93;"31 in [ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 33 34 35 36 37 38 39 40 41 42 43
 44 45 46 47 48 49]";(61125000, 3);"[[  5.39e-01   1.63e-03   4.02e-01   6.40e-03   1.45e-03   4.90e-02
    3.41e-04]
 [  2.08e-01   1.93e-03   6.47e-01   9.18e-03   1.33e-03   1.32e-01
    3.99e-04]
 [  2.12e-02   1.18e-04   8.68e-01   4.53e-02   8.91e-03   5.68e-02
    2.45e-05]
 [  4.74e-03   2.91e-05   5.65e-01   2.66e-01   1.36e-01   2.77e-02
    8.32e-06]
 [  2.69e-03   0.00e+00   2.59e-01   1.40e-01   5.95e-01   4.01e-03
    6.05e-06]
 [  1.24e-02   2.88e-04   5.31e-01   2.09e-02   4.91e-03   4.31e-01
    3.49e-05]
 [  2.19e-01   5.86e-03   6.42e-01   2.52e-02   1.41e-02   9.20e-02
    1.67e-03]]";1.00547;"[[  3.47e-01   4.81e-04   6.19e-01   1.16e-02   1.87e-03   1.91e-02
    3.09e-04]
 [  2.13e-01   4.97e-04   6.93e-01   6.49e-03   5.28e-03   8.25e-02
    0.00e+00]
 [  3.32e-02   2.03e-04   8.49e-01   5.73e-02   1.47e-02   4.54e-02
    6.91e-05]
 [  3.13e-02   4.98e-05   6.17e-01   1.89e-01   1.44e-01   1.85e-02
    8.30e-06]
 [  1.41e-02   1.64e-04   2.98e-01   1.16e-01   5.65e-01   7.49e-03
    5.98e-05]
 [  1.62e-02   1.65e-04   5.55e-01   1.16e-02   9.39e-03   4.07e-01
    5.67e-05]
 [  2.76e-01   3.75e-03   6.17e-01   1.87e-02   1.07e-02   7.27e-02
    9.09e-04]]";1.14429;1e-05
Mon Feb 13 12:12:53 2017;4;3;25;100;0.889;0.366;0.770;0.209;3000;LSTM-1sample-3ch;32;25;20;/home/simon/sleep/;0;<class 'chainer.links.connection.lstm.LSTM'>;[0 1 2 3 4 5 6];"             precision    recall  f1-score   support

        0.0       0.25      0.17      0.20      1359
        1.0       0.03      0.04      0.03       711
        2.0       0.49      0.53      0.51      9278
        3.0       0.18      0.16      0.17      2526
        4.0       0.23      0.20      0.21      1784
        5.0       0.33      0.33      0.33      4658
        6.0       0.00      0.01      0.01       100

avg / total       0.36      0.37      0.36     20416
";7.91;"31 in [ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 33 34 35 36 37 38 39 40 41 42 43
 44 45 46 47 48 49]";(20423, 23);"[[  9.09e-01   5.32e-02   1.05e-02   3.00e-03   2.25e-03   1.50e-02
    7.49e-03]
 [  1.10e-01   5.72e-01   1.65e-01   1.18e-03   1.18e-03   1.40e-01
    1.06e-02]
 [  1.71e-03   9.49e-03   9.26e-01   4.66e-02   6.40e-04   1.35e-02
    1.81e-03]
 [  0.00e+00   0.00e+00   1.22e-01   7.48e-01   1.29e-01   0.00e+00
    1.96e-03]
 [  0.00e+00   0.00e+00   6.24e-04   9.86e-02   9.01e-01   0.00e+00
    0.00e+00]
 [  1.55e-03   1.06e-02   1.95e-02   4.44e-04   0.00e+00   9.67e-01
    1.11e-03]
 [  1.61e-01   9.14e-02   1.99e-01   6.99e-02   1.08e-02   1.77e-01
    2.90e-01]]";0.28640;"[[ 0.25  0.06  0.36  0.05  0.01  0.25  0.01]
 [ 0.08  0.03  0.52  0.1   0.06  0.21  0.  ]
 [ 0.06  0.03  0.49  0.12  0.08  0.21  0.01]
 [ 0.07  0.03  0.38  0.18  0.15  0.18  0.  ]
 [ 0.09  0.03  0.32  0.25  0.23  0.07  0.  ]
 [ 0.04  0.05  0.45  0.08  0.04  0.33  0.  ]
 [ 0.03  0.05  0.51  0.12  0.06  0.23  0.  ]]";3.94508;1e-05
Mon Feb 13 12:28:00 2017;5;3;25;100;0.473;0.461;0.092;0.090;3000;LSTM-1sample-3ch;32;25;20;/home/simon/sleep/;0;<class 'chainer.links.connection.lstm.LSTM'>;[0 1 2 3 4 5 6];"             precision    recall  f1-score   support

        0.0       0.00      0.00      0.00         0
        1.0       0.00      0.00      0.00         0
        2.0       1.00      0.46      0.63      9760
        3.0       0.00      0.00      0.00         0
        4.0       0.00      0.00      0.00         0
        5.0       0.00      0.00      0.00         0
        6.0       0.00      0.00      0.00         0

avg / total       1.00      0.46      0.63      9760
";6.43;"31 in [ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 33 34 35 36 37 38 39 40 41 42 43
 44 45 46 47 48 49]";(20401, 23);"[[ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]]";1.47360;"[[ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]]";1.53094;1e-05
Mon Feb 13 12:36:30 2017;6;3;25;100;0.697;0.606;0.388;0.344;3000;LSTM-testing;32;25;200;/home/simon/sleep/;0;<class 'chainer.links.connection.lstm.LSTM'>;[0 1 2 3 4 5 6];"             precision    recall  f1-score   support

        0.0       0.00      0.00      0.00         0
        1.0       0.00      0.00      0.00         0
        2.0       0.79      0.67      0.73      5039
        3.0       0.37      0.49      0.42       842
        4.0       0.69      0.64      0.67       908
        5.0       0.73      0.51      0.60      2939
        6.0       0.00      0.00      0.00         0

avg / total       0.72      0.61      0.66      9728
";6.35;"31 in [ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 33 34 35 36 37 38 39 40 41 42 43
 44 45 46 47 48 49]";(20421, 7);"[[ 0.    0.    0.2   0.    0.02  0.78  0.  ]
 [ 0.    0.    0.3   0.02  0.04  0.65  0.  ]
 [ 0.    0.    0.84  0.04  0.01  0.1   0.  ]
 [ 0.    0.    0.35  0.44  0.21  0.    0.  ]
 [ 0.    0.    0.04  0.16  0.81  0.    0.  ]
 [ 0.    0.    0.19  0.    0.    0.8   0.  ]
 [ 0.    0.    0.51  0.1   0.11  0.29  0.  ]]";0.85729;"[[  0.00e+00   0.00e+00   3.60e-01   2.69e-02   1.28e-02   6.00e-01
    0.00e+00]
 [  0.00e+00   0.00e+00   3.83e-01   5.77e-03   2.50e-02   5.87e-01
    0.00e+00]
 [  0.00e+00   0.00e+00   7.88e-01   4.18e-02   2.11e-02   1.49e-01
    0.00e+00]
 [  0.00e+00   0.00e+00   4.45e-01   3.67e-01   1.78e-01   9.80e-03
    0.00e+00]
 [  0.00e+00   0.00e+00   5.31e-02   2.56e-01   6.90e-01   1.18e-03
    0.00e+00]
 [  0.00e+00   0.00e+00   2.73e-01   9.69e-04   4.84e-04   7.25e-01
    0.00e+00]
 [  0.00e+00   0.00e+00   6.67e-01   8.64e-02   9.88e-02   1.48e-01
    0.00e+00]]";1.04953;1e-05
Mon Feb 13 12:46:38 2017;7;3;25;100;0.820;0.343;0.600;0.177;3000;LSTM-testing;32;25;200;/home/simon/sleep/;0;<class 'chainer.links.connection.lstm.LSTM'>;[0 1 2 3 4 5 6];"             precision    recall  f1-score   support

        0.0       0.13      0.15      0.14      1125
        1.0       0.01      0.03      0.02       262
        2.0       0.50      0.47      0.49     10376
        3.0       0.14      0.15      0.15      2163
        4.0       0.19      0.15      0.17      1762
        5.0       0.29      0.28      0.28      4792
        6.0       0.00      0.00      0.00         0

avg / total       0.36      0.34      0.35     20480
";7.97;"31 in [ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 33 34 35 36 37 38 39 40 41 42 43
 44 45 46 47 48 49]";(20499, 7);"[[  7.61e-01   5.53e-02   1.12e-01   6.15e-03   2.63e-03   6.23e-02
    0.00e+00]
 [  1.84e-01   1.41e-01   3.36e-01   5.40e-03   4.32e-03   3.29e-01
    0.00e+00]
 [  6.94e-03   3.47e-03   9.24e-01   3.89e-02   1.26e-03   2.57e-02
    0.00e+00]
 [  0.00e+00   0.00e+00   2.89e-01   5.80e-01   1.31e-01   3.93e-04
    0.00e+00]
 [  0.00e+00   0.00e+00   4.11e-03   1.70e-01   8.26e-01   0.00e+00
    0.00e+00]
 [  2.24e-03   6.05e-03   6.68e-02   1.12e-03   0.00e+00   9.24e-01
    0.00e+00]
 [  6.09e-02   4.06e-02   5.69e-01   6.09e-02   2.03e-02   2.49e-01
    0.00e+00]]";0.52610;"[[ 0.13  0.01  0.46  0.05  0.09  0.26  0.  ]
 [ 0.05  0.01  0.5   0.08  0.05  0.3   0.  ]
 [ 0.05  0.01  0.5   0.11  0.08  0.24  0.  ]
 [ 0.04  0.01  0.54  0.14  0.11  0.15  0.  ]
 [ 0.1   0.01  0.47  0.14  0.19  0.09  0.  ]
 [ 0.03  0.01  0.52  0.09  0.06  0.29  0.  ]
 [ 0.06  0.01  0.53  0.11  0.09  0.21  0.  ]]";2.72374;1e-05
Mon Feb 13 12:51:05 2017;7;3;25;100;0.856;0.385;0.639;0.212;3000;LSTM-testing;32;25;200;/home/simon/sleep/;0;<class 'chainer.links.connection.lstm.LSTM'>;[0 1 2 3 4 5 6];"             precision    recall  f1-score   support

        0.0       0.27      0.17      0.21      1467
        1.0       0.01      0.03      0.02       293
        2.0       0.53      0.53      0.53      9895
        3.0       0.17      0.17      0.17      2320
        4.0       0.23      0.22      0.22      1594
        5.0       0.35      0.34      0.34      4847
        6.0       0.00      0.00      0.00         0

avg / total       0.40      0.38      0.39     20416
";7.71;"31 in [ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 33 34 35 36 37 38 39 40 41 42 43
 44 45 46 47 48 49]";(20423, 23);"[[  8.64e-01   5.24e-02   4.34e-02   3.00e-03   3.00e-03   3.37e-02
    0.00e+00]
 [  3.00e-01   1.86e-01   2.50e-01   1.18e-03   2.36e-03   2.60e-01
    0.00e+00]
 [  3.94e-03   3.52e-03   9.36e-01   3.36e-02   1.28e-03   2.19e-02
    0.00e+00]
 [  0.00e+00   0.00e+00   2.34e-01   6.73e-01   9.31e-02   0.00e+00
    0.00e+00]
 [  0.00e+00   0.00e+00   4.99e-03   1.64e-01   8.31e-01   0.00e+00
    0.00e+00]
 [  4.44e-04   3.55e-03   3.37e-02   1.11e-03   4.44e-04   9.61e-01
    0.00e+00]
 [  1.02e-01   8.60e-02   4.89e-01   5.91e-02   2.69e-02   2.37e-01
    0.00e+00]]";0.41439;"[[ 0.27  0.02  0.4   0.03  0.02  0.26  0.  ]
 [ 0.08  0.01  0.55  0.08  0.06  0.22  0.  ]
 [ 0.06  0.01  0.53  0.11  0.07  0.22  0.  ]
 [ 0.07  0.01  0.43  0.17  0.13  0.19  0.  ]
 [ 0.1   0.01  0.35  0.23  0.23  0.08  0.  ]
 [ 0.05  0.02  0.47  0.08  0.03  0.35  0.  ]
 [ 0.03  0.04  0.54  0.1   0.04  0.25  0.  ]]";2.76749;1e-05
Mon Feb 13 13:34:51 2017;8;3;25;100;0.839;0.730;0.596;0.523;3000;LSTM-testing;32;25;200;/home/simon/sleep/;0;<class 'chainer.links.connection.lstm.LSTM'>;[0 1 2 3 4 5 6];"             precision    recall  f1-score   support

        0.0       0.66      0.74      0.70       740
        1.0       0.07      0.27      0.11       123
        2.0       0.88      0.74      0.81      4934
        3.0       0.54      0.69      0.61      1091
        4.0       0.73      0.61      0.66       673
        5.0       0.78      0.79      0.78      2103
        6.0       0.00      0.00      0.00         0

avg / total       0.78      0.73      0.75      9664
";6.42;"31 in [ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 33 34 35 36 37 38 39 40 41 42 43
 44 45 46 47 48 49]";(20477, 7);"[[  7.25e-01   4.87e-02   1.23e-01   5.41e-03   1.08e-02   8.66e-02
    0.00e+00]
 [  2.19e-01   9.40e-02   3.41e-01   3.61e-03   6.02e-03   3.36e-01
    0.00e+00]
 [  4.80e-03   3.70e-03   9.34e-01   3.02e-02   2.80e-03   2.45e-02
    0.00e+00]
 [  4.53e-04   0.00e+00   2.56e-01   6.21e-01   1.22e-01   4.53e-04
    0.00e+00]
 [  0.00e+00   0.00e+00   3.40e-03   1.47e-01   8.49e-01   0.00e+00
    0.00e+00]
 [  4.84e-03   3.96e-03   6.23e-02   2.20e-04   2.20e-04   9.28e-01
    0.00e+00]
 [  3.16e-02   4.74e-02   6.16e-01   3.16e-02   2.11e-02   2.53e-01
    0.00e+00]]";0.46899;"[[ 0.66  0.06  0.23  0.    0.    0.04  0.  ]
 [ 0.28  0.07  0.33  0.    0.    0.31  0.  ]
 [ 0.01  0.01  0.88  0.04  0.    0.06  0.  ]
 [ 0.    0.    0.29  0.54  0.17  0.    0.  ]
 [ 0.    0.    0.    0.27  0.73  0.    0.  ]
 [ 0.    0.01  0.21  0.    0.    0.78  0.  ]
 [ 0.12  0.02  0.52  0.09  0.08  0.17  0.  ]]";0.77700;1e-05
Mon Feb 13 13:36:01 2017;8;3;25;100;0.695;0.665;0.461;0.417;3000;LSTM-testing-nonorm;32;25;200;/home/simon/sleep/;0;<class 'chainer.links.connection.lstm.LSTM'>;[0 1 2 3 4 5 6];"             precision    recall  f1-score   support

        0.0       0.30      0.51      0.38       342
        1.0       0.00      0.00      0.00         1
        2.0       0.79      0.73      0.76      5155
        3.0       0.35      0.54      0.42       780
        4.0       0.62      0.73      0.67       569
        5.0       0.83      0.60      0.69      2945
        6.0       0.00      0.00      0.00         0

avg / total       0.74      0.67      0.69      9792
";6.48;"31 in [ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 33 34 35 36 37 38 39 40 41 42 43
 44 45 46 47 48 49]";(20375, 7);"[[  5.12e-01   0.00e+00   3.59e-01   8.32e-03   2.50e-03   1.17e-01
    0.00e+00]
 [  2.25e-01   2.10e-03   4.36e-01   1.26e-02   1.37e-02   3.11e-01
    0.00e+00]
 [  1.23e-02   1.07e-04   8.33e-01   3.03e-02   4.91e-03   1.20e-01
    0.00e+00]
 [  0.00e+00   0.00e+00   4.59e-01   3.61e-01   1.71e-01   8.74e-03
    0.00e+00]
 [  0.00e+00   0.00e+00   4.17e-02   2.32e-01   7.25e-01   1.21e-03
    0.00e+00]
 [  1.91e-02   2.19e-04   1.78e-01   2.85e-03   0.00e+00   8.00e-01
    0.00e+00]
 [  4.29e-02   0.00e+00   6.24e-01   6.19e-02   5.24e-02   2.19e-01
    0.00e+00]]";0.87647;"[[  2.99e-01   0.00e+00   3.16e-01   1.20e-02   1.55e-02   3.57e-01
    0.00e+00]
 [  1.66e-01   0.00e+00   2.93e-01   1.93e-02   1.10e-02   5.11e-01
    0.00e+00]
 [  2.05e-02   2.10e-04   7.86e-01   2.87e-02   5.66e-03   1.59e-01
    0.00e+00]
 [  2.49e-03   0.00e+00   5.50e-01   3.49e-01   8.46e-02   1.33e-02
    0.00e+00]
 [  0.00e+00   0.00e+00   9.27e-02   2.88e-01   6.19e-01   0.00e+00
    0.00e+00]
 [  2.84e-03   0.00e+00   1.63e-01   9.45e-04   2.36e-03   8.31e-01
    0.00e+00]
 [  1.14e-02   0.00e+00   5.45e-01   1.48e-01   9.09e-02   2.05e-01
    0.00e+00]]";0.93887;1e-05
Mon Feb 13 13:49:34 2017;9;3;25;100;0.460;0.487;0.090;0.094;3000;LSTM-testing-nonorm;32;25;200;/home/simon/sleep/;0;<class 'chainer.links.connection.lstm.LSTM'>;[0 1 2 3 4 5 6];"             precision    recall  f1-score   support

        0.0       0.00      0.00      0.00         0
        1.0       0.00      0.00      0.00         0
        2.0       1.00      0.49      0.66      9792
        3.0       0.00      0.00      0.00         0
        4.0       0.00      0.00      0.00         0
        5.0       0.00      0.00      0.00         0
        6.0       0.00      0.00      0.00         0

avg / total       1.00      0.49      0.66      9792
";6.37;"31 in [ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 33 34 35 36 37 38 39 40 41 42 43
 44 45 46 47 48 49]";(20375, 23);"[[ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]]";1.50714;"[[ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]]";1.45932;1e-05
Mon Feb 13 13:49:41 2017;9;3;25;100;0.460;0.487;0.090;0.094;3000;LSTM-testing-norm;32;25;200;/home/simon/sleep/;0;<class 'chainer.links.connection.lstm.LSTM'>;[0 1 2 3 4 5 6];"             precision    recall  f1-score   support

        0.0       0.00      0.00      0.00         0
        1.0       0.00      0.00      0.00         0
        2.0       1.00      0.49      0.66      9792
        3.0       0.00      0.00      0.00         0
        4.0       0.00      0.00      0.00         0
        5.0       0.00      0.00      0.00         0
        6.0       0.00      0.00      0.00         0

avg / total       1.00      0.49      0.66      9792
";6.38;"31 in [ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 33 34 35 36 37 38 39 40 41 42 43
 44 45 46 47 48 49]";(20375, 23);"[[ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]]";1.50730;"[[ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]]";1.45948;1e-05
Mon Feb 13 14:13:07 2017;10;3;25;100;0.863;0.756;0.676;0.542;3000;LSTM-testing-norm-3ch;32;25;200;/home/simon/sleep/;0;<class 'chainer.links.connection.lstm.LSTM'>;[0 1 2 3 4 5 6];"             precision    recall  f1-score   support

        0.0       0.71      0.70      0.71       586
        1.0       0.25      0.22      0.23       417
        2.0       0.88      0.82      0.85      5130
        3.0       0.53      0.56      0.54      1135
        4.0       0.59      0.72      0.65       550
        5.0       0.79      0.85      0.82      1974
        6.0       0.00      0.00      0.00         0

avg / total       0.77      0.76      0.76      9792
";6.31;"31 in [ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 33 34 35 36 37 38 39 40 41 42 43
 44 45 46 47 48 49]";(20375, 21);"[[  8.63e-01   7.82e-02   2.66e-02   1.66e-03   1.66e-03   2.91e-02
    0.00e+00]
 [  1.33e-01   4.10e-01   2.80e-01   0.00e+00   1.05e-03   1.75e-01
    0.00e+00]
 [  5.34e-04   1.13e-02   9.41e-01   3.49e-02   5.34e-04   1.18e-02
    0.00e+00]
 [  1.25e-03   0.00e+00   2.23e-01   6.61e-01   1.14e-01   4.16e-04
    0.00e+00]
 [  0.00e+00   0.00e+00   6.05e-04   1.48e-01   8.51e-01   0.00e+00
    0.00e+00]
 [  1.32e-03   8.56e-03   4.12e-02   1.76e-03   0.00e+00   9.47e-01
    0.00e+00]
 [  8.10e-02   1.62e-01   4.86e-01   4.76e-02   3.33e-02   1.90e-01
    0.00e+00]]";0.38544;"[[  7.10e-01   1.24e-01   1.13e-01   5.15e-03   5.15e-03   4.30e-02
    0.00e+00]
 [  1.80e-01   2.51e-01   2.68e-01   5.52e-03   0.00e+00   2.96e-01
    0.00e+00]
 [  8.60e-03   2.54e-02   8.79e-01   4.93e-02   4.82e-03   3.29e-02
    0.00e+00]
 [  2.74e-02   1.66e-03   3.43e-01   5.26e-01   1.02e-01   0.00e+00
    0.00e+00]
 [  7.47e-03   0.00e+00   2.39e-02   3.80e-01   5.89e-01   0.00e+00
    0.00e+00]
 [  4.73e-03   5.43e-02   1.49e-01   4.73e-04   0.00e+00   7.92e-01
    0.00e+00]
 [  2.16e-01   1.82e-01   3.41e-01   6.82e-02   7.95e-02   1.14e-01
    0.00e+00]]";0.67880;1e-05
Mon Feb 13 14:13:19 2017;10;3;25;100;0.590;0.561;0.282;0.224;3000;LSTM-testing-nonorm-3ch;32;25;200;/home/simon/sleep/;0;<class 'chainer.links.connection.lstm.LSTM'>;[0 1 2 3 4 5 6];"             precision    recall  f1-score   support

        0.0       0.03      0.24      0.06        78
        1.0       0.00      0.00      0.00         0
        2.0       0.85      0.60      0.70      6835
        3.0       0.01      0.12      0.01        66
        4.0       0.19      0.25      0.22       512
        5.0       0.60      0.55      0.58      2301
        6.0       0.00      0.00      0.00         0

avg / total       0.75      0.56      0.64      9792
";6.41;"31 in [ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 33 34 35 36 37 38 39 40 41 42 43
 44 45 46 47 48 49]";(20375, 21);"[[ 0.03  0.    0.62  0.    0.    0.34  0.  ]
 [ 0.01  0.    0.59  0.    0.01  0.38  0.  ]
 [ 0.    0.    0.85  0.    0.03  0.12  0.  ]
 [ 0.    0.    0.75  0.01  0.17  0.06  0.  ]
 [ 0.    0.    0.41  0.02  0.54  0.02  0.  ]
 [ 0.01  0.    0.31  0.    0.01  0.68  0.  ]
 [ 0.01  0.    0.64  0.    0.05  0.29  0.  ]]";1.13127;"[[ 0.03  0.    0.57  0.    0.02  0.38  0.  ]
 [ 0.03  0.    0.62  0.    0.03  0.32  0.  ]
 [ 0.    0.    0.85  0.    0.04  0.1   0.  ]
 [ 0.    0.    0.79  0.01  0.1   0.11  0.  ]
 [ 0.    0.    0.68  0.03  0.19  0.09  0.  ]
 [ 0.02  0.    0.35  0.01  0.02  0.6   0.  ]
 [ 0.01  0.    0.76  0.    0.06  0.17  0.  ]]";1.27530;1e-05
Mon Feb 13 14:23:19 2017;11;3;50;100;0.846;0.755;0.619;0.539;3000;LSTM-testing-norm-3ch;32;100;;/home/simon/sleep/;0;<class 'chainer.links.connection.lstm.LSTM'>;[0 1 2 3 4 5 6];"             precision    recall  f1-score   support

        0.0       0.73      0.71      0.72       696
        1.0       0.07      0.34      0.12       106
        2.0       0.88      0.80      0.84      4970
        3.0       0.58      0.58      0.58      1259
        4.0       0.66      0.73      0.70       679
        5.0       0.84      0.81      0.82      2050
        6.0       0.00      0.00      0.00         0

avg / total       0.80      0.76      0.77      9760
";6.33;"31 in [ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 33 34 35 36 37 38 39 40 41 42 43
 44 45 46 47 48 49]";(20401, 21);"[[  8.57e-01   2.16e-02   6.20e-02   4.49e-03   1.80e-03   5.30e-02
    0.00e+00]
 [  2.41e-01   1.21e-01   3.81e-01   1.20e-03   7.20e-03   2.48e-01
    0.00e+00]
 [  3.43e-03   2.91e-03   9.35e-01   3.33e-02   1.66e-03   2.38e-02
    0.00e+00]
 [  4.28e-04   0.00e+00   2.59e-01   6.22e-01   1.18e-01   0.00e+00
    0.00e+00]
 [  0.00e+00   0.00e+00   3.18e-03   1.50e-01   8.47e-01   0.00e+00
    0.00e+00]
 [  2.13e-03   1.06e-03   5.91e-02   6.38e-04   2.13e-04   9.37e-01
    0.00e+00]
 [  7.25e-02   4.66e-02   5.54e-01   4.15e-02   4.66e-02   2.38e-01
    0.00e+00]]";0.45564;"[[  7.32e-01   5.65e-02   1.29e-01   4.46e-03   7.44e-03   6.99e-02
    0.00e+00]
 [  2.10e-01   7.48e-02   3.74e-01   0.00e+00   6.24e-03   3.35e-01
    0.00e+00]
 [  9.57e-03   5.12e-03   8.80e-01   6.21e-02   7.56e-03   3.58e-02
    0.00e+00]
 [  7.87e-04   7.87e-04   3.19e-01   5.75e-01   1.03e-01   7.87e-04
    0.00e+00]
 [  0.00e+00   0.00e+00   1.87e-02   3.17e-01   6.64e-01   0.00e+00
    0.00e+00]
 [  2.32e-02   4.03e-03   1.35e-01   1.51e-03   0.00e+00   8.36e-01
    0.00e+00]
 [  1.24e-01   0.00e+00   5.62e-01   4.76e-02   7.62e-02   1.90e-01
    0.00e+00]]";0.68532;1e-05
Mon Feb 13 14:44:24 2017;12;3;50;100;0.815;0.730;0.567;0.489;3000;LSTM-testing-norm-3ch;32;300;;/home/simon/sleep/;0;<class 'chainer.links.connection.lstm.LSTM'>;[0 1 2 3 4 5 6];"             precision    recall  f1-score   support

        0.0       0.76      0.48      0.59       703
        1.0       0.00      0.00      0.00         0
        2.0       0.83      0.80      0.82      4967
        3.0       0.54      0.48      0.51      1183
        4.0       0.81      0.65      0.72       908
        5.0       0.75      0.84      0.79      1967
        6.0       0.00      0.00      0.00         0

avg / total       0.77      0.73      0.75      9728
";9.16;"31 in [ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 33 34 35 36 37 38 39 40 41 42 43
 44 45 46 47 48 49]";(20423, 21);"[[  8.10e-01   1.50e-03   1.20e-01   4.49e-03   4.49e-03   5.99e-02
    0.00e+00]
 [  3.29e-01   4.71e-03   3.58e-01   0.00e+00   7.07e-03   3.02e-01
    0.00e+00]
 [  1.09e-02   0.00e+00   9.13e-01   4.14e-02   3.63e-03   3.11e-02
    0.00e+00]
 [  0.00e+00   0.00e+00   2.61e-01   6.06e-01   1.31e-01   7.82e-04
    0.00e+00]
 [  0.00e+00   0.00e+00   6.87e-03   1.82e-01   8.10e-01   6.24e-04
    0.00e+00]
 [  2.00e-03   0.00e+00   7.67e-02   2.00e-03   6.65e-04   9.19e-01
    0.00e+00]
 [  8.60e-02   0.00e+00   5.22e-01   5.91e-02   7.53e-02   2.58e-01
    0.00e+00]]";0.56288;"[[ 0.76  0.    0.16  0.    0.02  0.07  0.  ]
 [ 0.28  0.    0.49  0.01  0.01  0.21  0.  ]
 [ 0.02  0.    0.83  0.1   0.01  0.04  0.  ]
 [ 0.    0.    0.22  0.54  0.24  0.    0.  ]
 [ 0.    0.    0.    0.19  0.81  0.    0.  ]
 [ 0.07  0.    0.18  0.    0.    0.75  0.  ]
 [ 0.05  0.    0.71  0.05  0.04  0.14  0.  ]]";0.75209;1e-08
